Table No 6,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF WHEAT CROP IN PAKISTAN,,,,,,,,,,,,,,,
Year,Tank,,Hangu,,Shangla,,Bannu,,Lakki MarwaMt  ohmand AgKehnycbyer,,Kurram,,Orakzai,,
2000-01,,0.2,,0,,1.4,,2.1,0.1 0.0,0,,6,0.1,,
CT-WISE AREA & PRODUCTION  OF RICE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Bajour,,N.W,,S.W,,F.R. PeshawarF .R. Kohat,F.R. Bannu,F.R. D.I. KhanD ir Upper,,,,,,
2000-01,,4.8,,0.6,,0.1,0.0 0.0,0.1,0.1,0,,,,,
ISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Quetta,,Pishin,,Chagai,,Loralai,,Zhob,,Killa SaifullaMh usa Khail Barkhan,Sibi,,,
2000-01,,0,,0,,0,,0,,0,0.0 0.0 0.0,0,,,
ISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Kohlu,,Dera Bughti Ziarat,,Nasirabad,Kachhi,,Tamboo,,Jafferabad,Bolan,,Jhal Magsi,,
2000-01,,0,0,0,140,,0.2,0,,0,,0,0,,
ISTRICT-WISE AREA & PRODUCTION  OFRICE CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Kalat,,Khuzdar,Kharan,Lasbela,,Mastung,Panjgur,,Gwadar,Turbat,Awaran,K. Abdullah,,
2000-01,,0,1.9,0,0,,0,0.1,,0,0.7,0,0,,
PROVINCE-WISE AREA & PRODUCTION  OF MAIZE CROP IN PAKISTAN,,,,,,,,,,,,,,,
Province/,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,
2000-01,397.4,7.7,536.5,2.5,944.1,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF MAIZE CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Attock,Rawalpindi,Islamaba d,Jhelum,C hakwal,,Sargodha,Khushab,Mianwali,Bhakkar,,,,,
2000-01,20.1,51.9,11.4,2.6,,0.7,24.6,0.7,0.5,0.7,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF MAIZE CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,Toba,,,,,,,,,,,,,
Year,Faisalabad,T  e  k  Singh,Jhang,,Gujrat,,M.B. Din,Sialkot,,Narowal,Gujranwala,Hafizabad,,,
2000-01,30.3,19.1,,38.7,,1.8,3.7,,1.8,0.7,1.3,1.2,,,
DISTRICT-WISE AREA & PRODUCTION  OF MAIZE CROP IN PUNJAB,,,,,,,,,,,,,,,
